Drug,Target
Clomipramine,GSTP1
Bepridil,CACNA1A
Bepridil,CACNA1H
Bepridil,CACNA2D2
Bepridil,ATP1A1
Bepridil,KCNQ1
Bepridil,TNNC1
Bepridil,CALM1
Bepridil,CALM2
Bepridil,CALM3
Bepridil,PDE1B
Decamethonium,CHRNA4
Decamethonium,CHRNB2
Alimemazine,HRH1
Docetaxel,TUBB1
Docetaxel,BCL2
Docetaxel,MAPT
Gliquidone,ABCC8
Mitiglinide,ABCC8
Mitiglinide,PPARG
Ergonovine,ADRA1A
Dasatinib,ABL1
Dasatinib,SRC
Dasatinib,EPHA2
Dasatinib,LCK
Dasatinib,YES1
Dasatinib,KIT
Dasatinib,STAT5B
Dasatinib,ABL2
Dasatinib,FYN
Dasatinib,BCR
Dasatinib,CSK
Dasatinib,EPHA5
Dasatinib,EPHB4
Dasatinib,FGR
Dasatinib,HSPA8
Dasatinib,LYN
Dasatinib,MAP3K20
Dasatinib,MAPK14
Lisdexamfetamine,SLC6A3
Lisdexamfetamine,ADRA1B
Eculizumab,C5
Lapatinib,EGFR
Lapatinib,ERBB2
Decitabine,DNMT1
Paliperidone,HTR2A
Paliperidone,DRD2
Paliperidone,HRH1
Paliperidone,ADRA1A
Paliperidone,ADRA1B
Paliperidone,DRD4
Paliperidone,ADRA2A
Paliperidone,ADRA2B
Paliperidone,ADRA2C
Paliperidone,HTR1A
Paliperidone,DRD1
Paliperidone,HTR7
Sunitinib,FLT1
Sunitinib,KIT
Sunitinib,KDR
Sunitinib,FLT4
Sunitinib,FLT3
Sunitinib,CSF1R
Sunitinib,PDGFRA
Panitumumab,EGFR
Ranibizumab,VEGFA
Varenicline,CHRNA4
Varenicline,CHRNA7
Varenicline,CHRNA3
Varenicline,CHRNB2
Arformoterol,ADRB2
Exenatide,GLP1R
Mecasermin,IGF1R
Mecasermin,IGFBP3
Mecasermin,INSR
Pramlintide,CALCR
Pramlintide,RAMP1
Pramlintide,RAMP2
Pramlintide,RAMP3
Carbetocin,OXTR
Lumiracoxib,PTGS2
Lumiracoxib,PTGS1
Tetracosactide,MC2R
Corticotropin,MC2R
Fenoterol,ADRB2
Fenoterol,ADRB1
Pirbuterol,ADRB2
Pirbuterol,ADRB1
Bevantolol,ADRB1
Bevantolol,ADRB2
Bevantolol,ADRA1A
Glucosamine,NFKB2
Glucosamine,TNF
Practolol,ADRB1
Oxtriphylline,PDE3A
Oxtriphylline,PDE4A
Oxtriphylline,ADORA2A
Oxtriphylline,HDAC2
Insulin Aspart,INSR
Insulin Detemir,INSR
Insulin Glulisine,INSR
Fosphenytoin,SCN5A
Quinethazone,SLC12A2
Cefazolin,IL15
Pancuronium,CHRM3
Pipecuronium,CHRM3
Dihydroquinidine barbiturate,GABRA1
Forasartan,AGTR1
Potassium,ATP1A1
Quinidine barbiturate,GABRA1
Quinidine barbiturate,GABRA2
Quinidine barbiturate,SCN5A
Quinidine barbiturate,GRIA2
Saprisartan,AGTR1
Tasosartan,AGTR1
Amobarbital,GABRA1
Amobarbital,GABRA2
Amobarbital,GABRA4
Amobarbital,GABRA5
Amobarbital,CHRNA4
Amobarbital,CHRNA7
Amobarbital,GRIA2
Aprobarbital,GABRA1
Aprobarbital,GABRA2
Aprobarbital,GABRA4
Aprobarbital,GABRA5
Aprobarbital,CHRNA4
Aprobarbital,CHRNA7
Aprobarbital,GRIA2
Butethal,GABRA1
Butethal,GABRA2
Butethal,GABRA4
Butethal,GABRA5
Butethal,CHRNA4
Butethal,CHRNA7
Butethal,GRIA2
Heptabarbital,GABRA1
Heptabarbital,GABRA2
Heptabarbital,GABRA4
Heptabarbital,GABRA5
Heptabarbital,CHRNA4
Heptabarbital,CHRNA7
Heptabarbital,GRIA2
Hexobarbital,GABRA1
Hexobarbital,GABRA2
Hexobarbital,GABRA4
Hexobarbital,GABRA5
Hexobarbital,CHRNA4
Hexobarbital,CHRNA7
Hexobarbital,GRIA2
Lithium,GSK3B
Mestranol,ESR1
Penbutolol,ADRB1
Penbutolol,ADRB2
Penbutolol,HTR1A
Penbutolol,HTR1B
Ephedra,SLC6A3
Ephedra,ADRA2A
Ephedra,ADRA2B
Ephedra,ADRA2C
Ephedra,ADRB1
Ephedra,ADRB2
Ephedrine,ADRA1A
Mephentermine,ADRA1A
Mephentermine,ADRA1B
Mephentermine,ADRA1D
Mephentermine,ADRA2A
Mephentermine,ADRA2B
Mephentermine,ADRA2C
Mephentermine,ADRB1
Mephentermine,ADRB2
Procaterol,ADRB2
Rasagiline,BCL2
Aluminium,TF
Aluminium,ATP1A1
Aluminium,APP
Calcium,CACNA1C
Calcium,TNNC1
Calcium,COMP
Calcium,CALM1
Calcium,CALM2
Calcium,CALM3
Calcium,BMP4
Aluminium monostearate,TNNC1
Aluminium monostearate,VDAC1
Aluminium monostearate,VDAC2
Aluminium monostearate,VDAC3
Magnesium,ATP1A1
Ginkgo biloba,GABRA1
Ginkgo biloba,GABRB2
Glycodiazine,KCNJ1
Glycodiazine,ABCC8
Mibefradil,CACNA1G
Mibefradil,CACNA1H
Mibefradil,CACNA1C
Mibefradil,CACNA1D
Mibefradil,CACNB1
Mibefradil,CACNB2
Mibefradil,CACNB3
Mibefradil,CACNB4
Yohimbine,ADRA2A
Yohimbine,ADRA2B
Yohimbine,ADRA2C
Yohimbine,HTR1A
Yohimbine,HTR1B
Yohimbine,DRD2
Yohimbine,HTR2A
Yohimbine,KCNJ1
Yohimbine,KCNJ11
Yohimbine,KCNJ12
Bezafibrate,PPARA
Bezafibrate,PPARD
Bezafibrate,PPARG
Bezafibrate,RXRA
Bezafibrate,RXRB
Bezafibrate,RXRG
Colchicine,TUBB1
Colchicine,TUBB
Drospirenone,PGR
Drospirenone,NR3C2
Digitoxin,ATP1A1
Magnesium salicylate,PTGS2
Magnesium salicylate,PTGS1
Salsalate,PTGS2
Salsalate,PTGS1
Choline magnesium trisalicylate,PTGS1
Choline magnesium trisalicylate,PTGS2
Methotrimeprazine,DRD2
Methotrimeprazine,DRD1
Methotrimeprazine,DRD5
Methotrimeprazine,DRD4
Methotrimeprazine,HTR2A
Methotrimeprazine,HRH1
Methotrimeprazine,CHRM1
Methotrimeprazine,CHRM3
Methotrimeprazine,ADRA1A
Methotrimeprazine,ADRA1B
Methotrimeprazine,ADRA1D
Methotrimeprazine,ADRA2A
Methotrimeprazine,ADRA2B
Methotrimeprazine,ADRA2C
Ginseng,PTGS2
Ginseng,AHR
Danazol,ESR1
Danazol,PGR
Clenbuterol,ADRB2
Clenbuterol,ADRB1
Clenbuterol,NGF
Clenbuterol,TNF
Bambuterol,ADRB2
Tiotropium,CHRM3
Tiotropium,CHRM1
Pranlukast,TNF
Pranlukast,NFKB1
Theobromine,ADORA2A
Theobromine,PDE4B
Antrafenine,PTGS1
Antrafenine,PTGS2
Alizapride,DRD2
Ajmaline,SCN5A
Amrinone,PDE3A
Amrinone,PDE4B
Amrinone,TNF
Oxybenzone,PGR
Oxybenzone,ESR1
Oxybenzone,ESR2
Aprindine,SCN5A
Aprindine,CALM1
Aprindine,CALM2
Aprindine,CALM3
Almitrine,ATP1A1
Allylestrenol,PGR
Allylestrenol,ESR1
Antipyrine,PTGS2
Antipyrine,PTGS1
Alfacalcidol,VDR
Alfacalcidol,RXRA
Glutethimide,GABRA1
Glutethimide,GABRA1
Glutethimide,GABRA2
Glutethimide,GABRA4
Glutethimide,GABRA5
Glutethimide,GABRB1
Glutethimide,GABRB2
Glutethimide,GABRB3
Glutethimide,GABRD
Glutethimide,GABRG3
Glutethimide,GABRP
3-Methylthiofentanyl,OPRD1
3-Methylthiofentanyl,OPRK1
Gamma Hydroxybutyric Acid,GABRB1
MMDA,HTR2A
MMDA,SLC6A3
Dimethylthiambutene,OPRD1
Heroin,OPRK1
Heroin,OPRD1
Midomafetamine,SLC6A3
Midomafetamine,HTR2A
Fencamfamine,SLC6A3
4-Methoxyamphetamine,SLC6A3
4-Methoxyamphetamine,ADRA1A
4-Methoxyamphetamine,ADRA2A
Barbital,GABRA1
Barbital,GABRA2
Barbital,GABRA4
Barbital,GABRA5
Barbital,CHRNA4
Barbital,CHRNA7
Barbital,GRIA2
Dimethyltryptamine,HTR6
Dimethyltryptamine,HTR2A
Barbituric acid derivative,GABRA1
Barbituric acid derivative,GABRA2
Barbituric acid derivative,GABRA4
Barbituric acid derivative,GABRA5
Barbituric acid derivative,CHRNA4
Barbituric acid derivative,CHRNA7
Barbituric acid derivative,GRIA2
Etorphine,OPRD1
Etorphine,OPRK1
Etorphine,OPRL1
Etorphine,POMC
Tenocyclidine,GRIN3A
Tenocyclidine,GRIN3B
Tenocyclidine,GRIN2A
Tenocyclidine,GRIN2C
Tenocyclidine,GRIN2B
Tenocyclidine,GRIN2D
Carfentanil,OPRD1
Carfentanil,OPRK1
"4-Bromo-2,5-dimethoxyphenethylamine",HTR2A
Flunitrazepam,TSPO
Flunitrazepam,GABRA2
Flunitrazepam,GABRA4
Flunitrazepam,GABRA5
Flunitrazepam,GABRA1
Flunitrazepam,GABRB3
Diprenorphine,OPRD1
Diprenorphine,OPRK1
Rolicyclidine,GRIN3A
Rolicyclidine,DRD2
Bromazepam,GABRA1
Bromazepam,GABRA2
Bromazepam,GABRA4
Bromazepam,GABRA5
Bromazepam,GABRB1
Bromazepam,GABRB2
Bromazepam,GABRB3
Bromazepam,GABRG3
Bromazepam,GABRD
Bromazepam,GABRP
Clotiazepam,GABRA1
Clotiazepam,GABRA2
Clotiazepam,GABRA5
Clotiazepam,GABRG3
Clotiazepam,GABRB1
Clotiazepam,GABRB2
Clotiazepam,GABRB3
Clotiazepam,GABRD
Clotiazepam,GABRP
Dihydromorphine,OPRD1
Dihydromorphine,OPRK1
Dihydromorphine,POMC
Fludiazepam,GABRA1
Fludiazepam,GABRA2
Fludiazepam,GABRA5
Fludiazepam,GABRG3
Fludiazepam,GABRB1
Fludiazepam,GABRB2
Fludiazepam,GABRB3
Fludiazepam,GABRD
Fludiazepam,GABRP
3-Methylfentanyl,OPRD1
3-Methylfentanyl,OPRK1
Dextroamphetamine,SLC6A3
Dextroamphetamine,ADRA1A
Dextroamphetamine,ADRA1B
Methamphetamine,SLC6A3
Methamphetamine,ADRA2A
Methamphetamine,ADRA2B
Methamphetamine,ADRA2C
Phendimetrazine,ADRA1A
Phendimetrazine,ADRA1B
Oxprenolol,ADRB1
Oxprenolol,ADRB2
Liotrix,THRA
Liotrix,THRB
Ketazolam,TSPO
Ketazolam,GABRA1
Ketazolam,GABRB1
Ketazolam,GABRD
Prazepam,GABRA1
Prazepam,GABRA2
Prazepam,GABRA5
Prazepam,GABRG3
Prazepam,GABRB1
Prazepam,GABRB2
Prazepam,GABRB3
Prazepam,GABRD
Prazepam,GABRP
Prazepam,GABRA1
Prazepam,GABRA2
Prazepam,GABRA4
Prazepam,GABRA5
Prazepam,GABRB1
Prazepam,GABRB2
Prazepam,GABRB3
Prazepam,GABRD
Prazepam,GABRG3
Prazepam,GABRP
Quazepam,GABRA1
Quazepam,GABRA2
Quazepam,GABRA5
Quazepam,GABRG3
Quazepam,GABRB1
Quazepam,GABRB3
Quazepam,GABRD
Quazepam,GABRP
Quazepam,GABRA1
Quazepam,GABRA2
Quazepam,GABRA4
Quazepam,GABRA5
Quazepam,GABRB1
Quazepam,GABRB2
Quazepam,GABRB3
Quazepam,GABRD
Quazepam,GABRG3
Quazepam,GABRP
Everolimus,MTOR
Solifenacin,CHRM3
Solifenacin,CHRM1
Iron,TFRC
Iron,FTH1
Iron,POLB
Iron,TF
Zinc,ALDOA
Zinc,EEF1A1
Zinc,ENO1
Zinc,P4HB
Zinc,PDIA3
Zinc,ESR1
Zinc,IL3
Zinc,HDAC1
Zinc,HDAC4
Zinc,SOD1
Zinc,SIVA1
Zinc,MDM2
Zinc,INS
Zinc,TP73
Zinc,TP53
Zinc,APOA1
Zinc,APOE
Zinc,C1QB
Zinc,C1QC
Zinc,C1R
Zinc,C5
Zinc,CFB
Zinc,FN1
Zinc,GSN
Zinc,IGFALS
Zinc,JUP
Zinc,KRT16
Zinc,KRT9
Zinc,SERPINA1
Zinc,TF
Zinc,APP
Zinc,PARP1
Cinolazepam,GABRA1
Cinolazepam,GABRA2
Cinolazepam,GABRA5
Cinolazepam,GABRG3
Cinolazepam,GABRB1
Cinolazepam,GABRB2
Cinolazepam,GABRB3
Cinolazepam,GABRD
Cinolazepam,GABRP
Nitrazepam,GABRA1
Nitrazepam,GABRA2
Nitrazepam,GABRA4
Nitrazepam,GABRA5
Nitrazepam,GABRB1
Nitrazepam,GABRB2
Nitrazepam,GABRB3
Nitrazepam,GABRG3
Nitrazepam,GABRD
Nitrazepam,GABRP
Probucol,ABCA1
Tiaprofenic acid,PTGS2
Tiaprofenic acid,PTGS1
Propericiazine,DRD1
Propericiazine,ADRA2A
Propericiazine,ADRA1B
Hydroxychloroquine,TLR9
Amyl Nitrite,NPR1
Erythrityl Tetranitrate,NPR1
Erythrityl Tetranitrate,NPR2
Acepromazine,DRD2
Acepromazine,DRD1
Acepromazine,HTR2A
Acepromazine,HTR1A
Acepromazine,ADRA1A
Acepromazine,ADRA1B
Aceprometazine,HRH1
Alverine,HTR1A
Molindone,DRD2
Molindone,HTR1A
Molindone,HTR2A
Molindone,CHRM1
Phenindamine,HRH1
Pheniramine,HRH1
Pipotiazine,DRD2
Pipotiazine,DRD1
Pipotiazine,HTR2A
Pipotiazine,HTR1A
Thioproperazine,DRD2
Thioproperazine,DRD1
Thioproperazine,HTR2A
Thioproperazine,HTR1A
Thioproperazine,ADRA1A
Thioproperazine,ADRA1B
Thiothixene,DRD2
Thiothixene,DRD1
Thiothixene,HTR2A
Zuclopenthixol,DRD1
Zuclopenthixol,DRD5
Zuclopenthixol,DRD2
Zuclopenthixol,ADRA1A
Zuclopenthixol,ADRA2A
Zuclopenthixol,HTR2A
Zuclopenthixol,HRH1
Isopropamide,CHRM3
Etoricoxib,PTGS2
5-Fluorouridine,SOD1
SC-74020,MMP2
"(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One",PDE3B
Genistein,ESR2
Genistein,PTK2B
Genistein,NCOA1
Genistein,ESR1
Genistein,NCOA2
Genistein,AKT1
Genistein,GPER1
Daxalipram,PDE4B
7-Methyl-Gpppa,EIF4E
Roflumilast,PDE4D
Roflumilast,PDE4A
Roflumilast,PDE4B
Roflumilast,PDE4C
(S)-Des-Me-Ampa,GRIA2
D-Myo-Inositol-Hexasulphate,FST
RU84687,SRC
Benzene Hexacarboxylic Acid,PGAM2
"N,N-dimethylarginine",NOS3
D-tartaric acid,ATP6V1C1
Prasterone,ESR1
Prasterone,ESR2
Prasterone,GABRA1
Prasterone,GABRA2
Prasterone,GABRA4
Prasterone,GABRA5
Prasterone,GABRB1
Prasterone,GABRB2
Prasterone,GABRB3
Prasterone,GABRD
Prasterone,GABRG3
Prasterone,GABRP
Prasterone,GRIN1
Prasterone,GRIN2A
Prasterone,GRIN2B
Prasterone,GRIN2C
Prasterone,GRIN2D
Prasterone,GRIN3A
Prasterone,GRIN3B
Prasterone,PPARA
2-phospho-D-glyceric acid,ENO3
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide",PLAU
L-Phospholactate,PKM
3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid,PTPN1
[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium,SLC25A4
Phosphorylcolamine,PRKCB
Camphor,TRPV1
1-naphthaleneacetic acid,SKP1
S-adenosyl-L-homocysteine,PRMT1
S-adenosyl-L-homocysteine,SETD7
"3,4-Dihydroxy-1-Methylquinolin-2(1h)-One",PIM1
4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine,MAPK14
Beta-(2-Naphthyl)-Alanine,PIN1
"3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione",GSK3B
M-Cresol,INS
Fusicoccin,YWHAE
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",MAPK8IP1
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",MAPK8
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",TTK
Dimethylallyl Diphosphate,FDPS
Piclamilast,PDE4A
Piclamilast,PDE4B
Piclamilast,PDE4C
Piclamilast,PDE4D
SB-409513,GSK3B
"N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea",MAPK14
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",HCK
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",RET
Phosphoenolpyruvate,ENO3
"Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide",PTPN1
"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",NOS3
"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",NOS1
Beta-D-Glucopyranose Spirohydantoin,PYGM
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid",LCK
L-2-Amino-4-(Guanidinooxy)Butyric Acid,NOS3
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",GSTP1
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",GSTM1
O-acetyl-L-serine,PTGS1
"3-Amino-8,9,10-Trihydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",PYGM
"Inositol 1,3,4,5-Tetrakisphosphate",AKT1
"Inositol 1,3,4,5-Tetrakisphosphate",CYTH2
"Inositol 1,3,4,5-Tetrakisphosphate",CYTH3
"Inositol 1,3,4,5-Tetrakisphosphate",PDPK1
5'-Guanosine-Diphosphate-Monothiophosphate,ARF6
5'-Guanosine-Diphosphate-Monothiophosphate,RAB11A
RU79256,SRC
Epothilone D,TUBA3C
Epothilone D,TUBB
Epothilone D,TUBB1
Epothilone D,TUBB4B
Epothilone D,TUBB4A
Epothilone D,TUBA4A
Epothilone D,TUBB3
Epothilone D,TUBA1C
Epothilone D,TUBA8
Epothilone D,TUBA1A
Benzophenone,ESR1
Benzophenone,ESR2
"4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide",CDK2
"N,N-Bis(3-(D-gluconamido)propyl)deoxycholamide",PPARA
Hyperforin,PTGS1
N6-Benzyl Adenosine-5'-Diphosphate,SRC
Sucrosofate,FGF1
Sucrosofate,FGFR2
"1-Ethyl-Pyrrolidine-2,5-Dione",ERO1B
2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,PLAU
RU85493,SRC
S-Hydroxycysteine,GSTP1
Putrescine,ADRB1
Putrescine,ADRB2
Pentanal,PRKACA
Duroquinone,NQO1
"Dcka, 5,7-Dichlorokynurenic Acid",GRIN1
7-Hydroxystaurosporine,PDPK1
Balanol Analog 2,PRKACA
"6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid",RXRB
Formic Acid,HMOX1
Formic Acid,CTBP1
Formic Acid,NOS1
Formic Acid,CYTH2
Formic Acid,FGF1
(S)-blebbistatin,MYH14
"3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione",PDPK1
RU78262,SRC
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",MAPK14
"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",GSK3B
Inhibitor of P38 Kinase,MAPK14
Rolipram,PDE4D
Rolipram,PDE4B
"1,4-Butanediol",MAN1B1
"1,4-Butanediol",PLA2G2E
Taurine,GRIN2B
Taurine,GABRA1
Taurine,GABRA2
Taurine,GABRA4
Taurine,GABRA5
Taurine,GABRB1
Taurine,GABRB2
Taurine,GABRB3
Taurine,GABRD
Taurine,GABRG3
Taurine,GABRP
Taurine,GABBR1
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4B
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4D
7n-Methyl-8-Hydroguanosine-5'-Diphosphate,EIF4E
Phosphonotyrosine,HCK
Phosphonotyrosine,SRC
Phosphonotyrosine,KIT
"Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide",PDE3B
Guanosine-5'-Monophosphate,DLG4
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,PLAU
6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,MAPK14
Cholesterol sulfate,RORA
Coenzyme A,DBI
Coenzyme A,HMGCR
Coenzyme A,KAT2A
3-Bromo-7-Nitroindazole,NOS3
3-Bromo-7-Nitroindazole,NOS1
"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",SERPINA1
alpha-D-glucose 6-phosphate,HK1
alpha-D-glucose 6-phosphate,PYGM
Staurosporine,LCK
Staurosporine,PIM1
Staurosporine,SYK
Staurosporine,MAPKAPK2
Staurosporine,GSK3B
Staurosporine,CSK
Staurosporine,CDK2
Staurosporine,PDPK1
Staurosporine,PRKCQ
Staurosporine,ZAP70
Staurosporine,CHRM1
Compound 9,PTPN1
N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine,NOS3
N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine,NOS1
Tridolgosir,MAN2A1
N-(3-(Aminomethyl)Benzyl)Acetamidine,NOS3
N-(3-(Aminomethyl)Benzyl)Acetamidine,NOS1
"2-(1,1'-Biphenyl-4-Yl)Propanoic Acid",PTGS1
"1,2,4-Triazole-Carboxamidine",NOS3
Indirubin-3'-Monoxime,CDK5
Indirubin-3'-Monoxime,CDK1
Indirubin-3'-Monoxime,GSK3B
Indirubin-3'-Monoxime,CDK5R1
Indirubin-3'-Monoxime,CDK2
Indirubin-3'-Monoxime,AHR
(S)-AMPA,GRIA2
SU4984,FGFR2
SU4984,FGFR1
Adenosine-5-Diphosphoribose,EEF2
Adenosine-5-Diphosphoribose,GAPDH
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",PTPN1
Biliverdine IX Alpha,HMOX1
L-N(omega)-Nitroarginine-(4R)-Amino-L-Proline Amide,NOS3
L-N(omega)-Nitroarginine-(4R)-Amino-L-Proline Amide,NOS1
Triglyme,PFN2
Triglyme,FYN
Triglyme,PPIF
Phosphoaminophosphonic Acid Guanylate Ester,RAB8B
CP-526423,PYGL
"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",CDK2
2-Chlorodideoxyadenosine,HSP90B1
"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",THRB
2-Aminoethanimidic Acid,CTSB
Protoporphyrin Ix Containing Co,PTGS1
Protoporphyrin Ix Containing Co,CYCS
Olomoucine,CDK2
Olomoucine,CDK5
Olomoucine,CDK1
Olomoucine,MAPK1
N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,CTSH
"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",NOS3
N-Isopropyl-N'-Hydroxyguanidine,NOS1
3-Amino-4-Oxybenzyl-2-Butanone,CTSB
K-252a,MET
K-252a,MAP2K1
Balanol Analog 8,PRKACA
Zinc Trihydroxide,GSTM1
"9,10-Deepithio-9,10-Didehydroacanthifolicin",PPP1CC
Malonic acid,SRC
Equilin,ESR1
"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",MAPK14
"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",CDK2
2-Bromoacetyl Group,PTGS1
7-Nitroindazole,NOS3
"Hexane-1,6-Diol",HRAS
S-Methylcysteine,CTSD
S-Ethylisothiourea,NOS3
L-methionine (R)-S-oxide,APP
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",PTPN1
Platelet Activating Factor,PTAFR
O2-Sulfo-Glucuronic Acid,FGF1
Flufenamic Acid,PTGS2
Flufenamic Acid,PTGS1
Flufenamic Acid,PPARA
Flufenamic Acid,PPARG
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,MAPK14
Protoporphyrin,FTL
2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine,PLAU
2-Amino-6-Chloropyrazine,CDK2
Calcipotriol,VDR
"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",PRSS3
2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,MAN2A1
1-N-Acetyl-Beta-D-Glucosamine,PYGM
1-N-Acetyl-Beta-D-Glucosamine,PYGL
Heparin Disaccharide I-S,CCL5
Isopropyl Alcohol,GDF5
Isopropyl Alcohol,TNF
Isopropyl Alcohol,ACP5
2-Aminothiazoline,NOS3
RU83876,SRC
Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate,TXNRD1
2-Methoxyestradiol,HIF1A
Selenocysteine,CAMP
2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,GRIA2
Fluoro-Phosphite Ion,PYGM
3-(Benzyloxy)Pyridin-2-Amine,MAPK14
Heparin Disaccharide Iii-S,CCL5
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",HSP90AA1
Myricetin,JAK1
Beta-D-Glucose,PYGM
Beta-D-Glucose,GCK
Beta-D-Glucose,PTGS1
Beta-D-Glucose,HK1
Beta-D-Glucose,PYGL
"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",NQO1
6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,PLAU
"5-Methoxy-1,2-Dimethyl-3-(4-Nitrophenoxymethyl)Indole-4,7-Dione",NQO1
"4-Hydroxy-1,2,5-Oxadiazole-3-Carboxylic Acid",LDHB
6-O-Cyclohexylmethyl Guanine,CDK2
"(R,R)-2,3-Butanediol",UBE2D2
"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",PTPN1
